cnt,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed
29,16/04/2011,2,0,4,9,0,6,3,0.4,0.4091,1,0.2985
22,16/04/2011,2,0,4,10,0,6,3,0.42,0.4242,0.94,0.3881
31,16/04/2011,2,0,4,11,0,6,3,0.42,0.4242,0.94,0.4478
32,16/04/2011,2,0,4,12,0,6,2,0.46,0.4545,0.88,0.5821
58,16/04/2011,2,0,4,13,0,6,3,0.46,0.4545,0.94,0.5224
63,16/04/2011,2,0,4,14,0,6,3,0.52,0.5,0.83,0.5821
78,16/04/2011,2,0,4,15,0,6,3,0.52,0.5,0.83,0.5821
33,16/04/2011,2,0,4,16,0,6,3,0.5,0.4848,0.88,0.4627
15,16/04/2011,2,0,4,17,0,6,3,0.5,0.4848,0.88,0.5821
38,16/04/2011,2,0,4,18,0,6,2,0.5,0.4848,0.94,0.3881
71,16/04/2011,2,0,4,19,0,6,2,0.52,0.5,0.94,0.4179
53,16/04/2011,2,0,4,20,0,6,3,0.44,0.4394,0.94,0.2239
14,16/04/2011,2,0,4,21,0,6,2,0.44,0.4394,0.94,0
24,16/04/2011,2,0,4,22,0,6,3,0.42,0.4242,1,0
35,16/04/2011,2,0,4,23,0,6,2,0.44,0.4394,0.77,0.2836
33,17/04/2011,2,0,4,0,0,0,2,0.44,0.4394,0.77,0.2836
31,17/04/2011,2,0,4,1,0,0,1,0.42,0.4242,0.67,0.2239
29,17/04/2011,2,0,4,2,0,0,1,0.4,0.4091,0.62,0.194
25,17/04/2011,2,0,4,3,0,0,1,0.4,0.4091,0.66,0.1343
7,17/04/2011,2,0,4,4,0,0,1,0.36,0.3636,0.76,0.1045
3,17/04/2011,2,0,4,5,0,0,1,0.36,0.3485,0.71,0.1642
8,17/04/2011,2,0,4,6,0,0,1,0.36,0.3182,0.66,0.4478
16,17/04/2011,2,0,4,7,0,0,1,0.36,0.3333,0.5,0.3582
43,17/04/2011,2,0,4,8,0,0,1,0.38,0.3939,0.46,0.3881
102,17/04/2011,2,0,4,9,0,0,1,0.4,0.4091,0.43,0.2836
211,17/04/2011,2,0,4,10,0,0,1,0.42,0.4242,0.44,0.4478
304,17/04/2011,2,0,4,11,0,0,1,0.46,0.4545,0.41,0.4179
354,17/04/2011,2,0,4,12,0,0,1,0.46,0.4545,0.38,0.3881
343,17/04/2011,2,0,4,13,0,0,1,0.5,0.4848,0.34,0.3881
361,17/04/2011,2,0,4,14,0,0,1,0.52,0.5,0.34,0.3881
388,17/04/2011,2,0,4,15,0,0,1,0.54,0.5152,0.32,0.5224
343,17/04/2011,2,0,4,16,0,0,1,0.54,0.5152,0.3,0.3582
306,17/04/2011,2,0,4,17,0,0,1,0.56,0.5303,0.3,0.4478
277,17/04/2011,2,0,4,18,0,0,1,0.56,0.5303,0.3,0.3881
210,17/04/2011,2,0,4,19,0,0,1,0.56,0.5303,0.3,0.2985
141,17/04/2011,2,0,4,20,0,0,1,0.52,0.5,0.36,0.194
83,17/04/2011,2,0,4,21,0,0,1,0.5,0.4848,0.42,0.194
70,17/04/2011,2,0,4,22,0,0,1,0.5,0.4848,0.39,0.1045
56,17/04/2011,2,0,4,23,0,0,1,0.44,0.4394,0.67,0.1642
39,18/04/2011,2,0,4,0,0,1,1,0.46,0.4545,0.47,0.0896
19,18/04/2011,2,0,4,1,0,1,1,0.46,0.4545,0.47,0.1343
16,18/04/2011,2,0,4,2,0,1,1,0.42,0.4242,0.67,0.1045
7,18/04/2011,2,0,4,3,0,1,1,0.42,0.4242,0.62,0.1045
6,18/04/2011,2,0,4,4,0,1,1,0.4,0.4091,0.87,0.1642
16,18/04/2011,2,0,4,5,0,1,1,0.4,0.4091,0.76,0.0896
54,18/04/2011,2,0,4,6,0,1,1,0.4,0.4091,0.82,0
168,18/04/2011,2,0,4,7,0,1,1,0.46,0.4545,0.63,0
297,18/04/2011,2,0,4,8,0,1,1,0.46,0.4545,0.63,0
169,18/04/2011,2,0,4,9,0,1,2,0.5,0.4848,0.55,0.1045
109,18/04/2011,2,0,4,10,0,1,2,0.52,0.5,0.55,0.1045
123,18/04/2011,2,0,4,11,0,1,2,0.54,0.5152,0.52,0.0896
184,18/04/2011,2,0,4,12,0,1,2,0.56,0.5303,0.49,0.0896
169,18/04/2011,2,0,4,13,0,1,2,0.56,0.5303,0.49,0.1642
144,18/04/2011,2,0,4,14,0,1,2,0.58,0.5455,0.49,0.194
176,18/04/2011,2,0,4,15,0,1,2,0.6,0.6212,0.43,0.194
205,18/04/2011,2,0,4,16,0,1,1,0.6,0.6212,0.46,0.2836
428,18/04/2011,2,0,4,17,0,1,1,0.58,0.5455,0.49,0.2836
362,18/04/2011,2,0,4,18,0,1,1,0.64,0.6212,0.31,0.3582
286,18/04/2011,2,0,4,19,0,1,1,0.56,0.5303,0.46,0.2537
165,18/04/2011,2,0,4,20,0,1,1,0.6,0.6212,0.33,0.2985
151,18/04/2011,2,0,4,21,0,1,1,0.56,0.5303,0.37,0.2836
90,18/04/2011,2,0,4,22,0,1,1,0.52,0.5,0.55,0.2836
46,18/04/2011,2,0,4,23,0,1,1,0.5,0.4848,0.59,0.2537
25,19/04/2011,2,0,4,0,0,2,1,0.5,0.4848,0.55,0.2239
7,19/04/2011,2,0,4,1,0,2,1,0.46,0.4545,0.63,0.2239
13,19/04/2011,2,0,4,2,0,2,1,0.46,0.4545,0.67,0.2836
3,19/04/2011,2,0,4,3,0,2,1,0.48,0.4697,0.63,0.2239
5,19/04/2011,2,0,4,4,0,2,1,0.46,0.4545,0.67,0.0896
18,19/04/2011,2,0,4,5,0,2,2,0.46,0.4545,0.72,0.194
65,19/04/2011,2,0,4,6,0,2,2,0.48,0.4697,0.67,0
188,19/04/2011,2,0,4,7,0,2,2,0.52,0.5,0.55,0
351,19/04/2011,2,0,4,8,0,2,2,0.5,0.4848,0.68,0.1343
162,19/04/2011,2,0,4,9,0,2,3,0.52,0.5,0.63,0.0896
75,19/04/2011,2,0,4,10,0,2,2,0.5,0.4848,0.72,0.2239
72,19/04/2011,2,0,4,11,0,2,2,0.54,0.5152,0.68,0.1642
103,19/04/2011,2,0,4,12,0,2,2,0.54,0.5152,0.64,0.0896
129,19/04/2011,2,0,4,13,0,2,2,0.54,0.5152,0.68,0.2239
107,19/04/2011,2,0,4,14,0,2,2,0.54,0.5152,0.64,0.194
127,19/04/2011,2,0,4,15,0,2,2,0.54,0.5152,0.65,0.1642
192,19/04/2011,2,0,4,16,0,2,1,0.56,0.5303,0.52,0.2985
411,19/04/2011,2,0,4,17,0,2,1,0.56,0.5303,0.6,0.1045
421,19/04/2011,2,0,4,18,0,2,2,0.54,0.5152,0.64,0.1343
276,19/04/2011,2,0,4,19,0,2,2,0.5,0.4848,0.72,0.194
168,19/04/2011,2,0,4,20,0,2,2,0.5,0.4848,0.72,0.2239
122,19/04/2011,2,0,4,21,0,2,2,0.5,0.4848,0.72,0.1343
112,19/04/2011,2,0,4,22,0,2,1,0.48,0.4697,0.77,0.0896
52,19/04/2011,2,0,4,23,0,2,1,0.46,0.4545,0.88,0.0896
33,20/04/2011,2,0,4,0,0,3,1,0.44,0.4394,0.88,0.1343
7,20/04/2011,2,0,4,1,0,3,1,0.42,0.4242,0.94,0.1642
2,20/04/2011,2,0,4,2,0,3,1,0.42,0.4242,0.94,0.1642
2,20/04/2011,2,0,4,3,0,3,1,0.42,0.4242,0.94,0
9,20/04/2011,2,0,4,4,0,3,1,0.4,0.4091,1,0.1045
15,20/04/2011,2,0,4,5,0,3,1,0.4,0.4091,0.94,0.194
64,20/04/2011,2,0,4,6,0,3,1,0.42,0.4242,0.94,0.1642
237,20/04/2011,2,0,4,7,0,3,1,0.44,0.4394,0.94,0
396,20/04/2011,2,0,4,8,0,3,1,0.62,0.6061,0.69,0.4627
197,20/04/2011,2,0,4,9,0,3,1,0.66,0.6212,0.61,0.2836
131,20/04/2011,2,0,4,10,0,3,1,0.62,0.6061,0.69,0.0896
118,20/04/2011,2,0,4,11,0,3,1,0.62,0.6061,0.69,0.0896
145,20/04/2011,2,0,4,12,0,3,1,0.7,0.6515,0.48,0.3881
177,20/04/2011,2,0,4,13,0,3,1,0.7,0.6515,0.48,0.3881
148,20/04/2011,2,0,4,14,0,3,1,0.74,0.6515,0.4,0.4627
145,20/04/2011,2,0,4,15,0,3,2,0.76,0.6667,0.35,0.3582
255,20/04/2011,2,0,4,16,0,3,2,0.76,0.6667,0.35,0.3582
432,20/04/2011,2,0,4,17,0,3,2,0.74,0.6515,0.37,0.4179
441,20/04/2011,2,0,4,18,0,3,1,0.74,0.6515,0.3,0.3582
383,20/04/2011,2,0,4,19,0,3,1,0.7,0.6364,0.32,0.2537
225,20/04/2011,2,0,4,20,0,3,1,0.68,0.6212,0.32,0.1045
172,20/04/2011,2,0,4,21,0,3,1,0.66,0.6212,0.36,0.2836
117,20/04/2011,2,0,4,22,0,3,1,0.62,0.6212,0.41,0.2537
93,20/04/2011,2,0,4,23,0,3,1,0.6,0.6212,0.4,0.3284
44,21/04/2011,2,0,4,0,0,4,1,0.56,0.5303,0.43,0.3582
26,21/04/2011,2,0,4,1,0,4,1,0.52,0.5,0.45,0.2239
13,21/04/2011,2,0,4,2,0,4,1,0.5,0.4848,0.42,0.3881
7,21/04/2011,2,0,4,3,0,4,2,0.46,0.4545,0.51,0.4627
6,21/04/2011,2,0,4,4,0,4,2,0.44,0.4394,0.54,0.4478
14,21/04/2011,2,0,4,5,0,4,2,0.42,0.4242,0.54,0.5522
75,21/04/2011,2,0,4,6,0,4,2,0.4,0.4091,0.58,0.5821
198,21/04/2011,2,0,4,7,0,4,2,0.42,0.4242,0.47,0.4627
365,21/04/2011,2,0,4,8,0,4,2,0.4,0.4091,0.5,0.4925
196,21/04/2011,2,0,4,9,0,4,2,0.42,0.4242,0.47,0.2836
98,21/04/2011,2,0,4,10,0,4,1,0.42,0.4242,0.44,0.3582
133,21/04/2011,2,0,4,11,0,4,1,0.44,0.4394,0.41,0.2836
199,21/04/2011,2,0,4,12,0,4,1,0.46,0.4545,0.38,0.1642
177,21/04/2011,2,0,4,13,0,4,1,0.48,0.4697,0.33,0.3284
228,21/04/2011,2,0,4,14,0,4,1,0.5,0.4848,0.34,0.3881
235,21/04/2011,2,0,4,15,0,4,1,0.52,0.5,0.29,0.4179
294,21/04/2011,2,0,4,16,0,4,1,0.52,0.5,0.27,0.3582
481,21/04/2011,2,0,4,17,0,4,1,0.5,0.4848,0.29,0.1642
452,21/04/2011,2,0,4,18,0,4,1,0.5,0.4848,0.25,0.2836
324,21/04/2011,2,0,4,19,0,4,1,0.46,0.4545,0.28,0.2836
204,21/04/2011,2,0,4,20,0,4,1,0.44,0.4394,0.3,0.1343
184,21/04/2011,2,0,4,21,0,4,1,0.42,0.4242,0.47,0.194
137,21/04/2011,2,0,4,22,0,4,1,0.42,0.4242,0.38,0.0896
99,21/04/2011,2,0,4,23,0,4,1,0.4,0.4091,0.43,0.1045
33,22/04/2011,2,0,4,0,0,5,1,0.36,0.3485,0.62,0.194
24,22/04/2011,2,0,4,1,0,5,1,0.36,0.3333,0.53,0.2537
9,22/04/2011,2,0,4,2,0,5,1,0.36,0.3333,0.53,0.2985
2,22/04/2011,2,0,4,3,0,5,1,0.36,0.3333,0.53,0.2985
3,22/04/2011,2,0,4,4,0,5,1,0.34,0.3182,0.53,0.2836
16,22/04/2011,2,0,4,5,0,5,1,0.34,0.3182,0.53,0.2239
49,22/04/2011,2,0,4,6,0,5,1,0.34,0.3182,0.53,0.2836
180,22/04/2011,2,0,4,7,0,5,2,0.34,0.3182,0.53,0.2836
346,22/04/2011,2,0,4,8,0,5,2,0.34,0.3182,0.53,0.2537
195,22/04/2011,2,0,4,9,0,5,3,0.34,0.303,0.61,0.2985
136,22/04/2011,2,0,4,10,0,5,2,0.36,0.3485,0.62,0.194
106,22/04/2011,2,0,4,11,0,5,3,0.34,0.3333,0.66,0.194
80,22/04/2011,2,0,4,12,0,5,3,0.34,0.3333,0.76,0.1343
40,22/04/2011,2,0,4,13,0,5,3,0.34,0.3333,0.87,0.194
36,22/04/2011,2,0,4,14,0,5,3,0.34,0.3182,0.87,0.2537
75,22/04/2011,2,0,4,15,0,5,3,0.34,0.3333,0.87,0.194
62,22/04/2011,2,0,4,16,0,5,3,0.34,0.3333,0.87,0.1343
69,22/04/2011,2,0,4,17,0,5,3,0.32,0.303,0.93,0.2239
51,22/04/2011,2,0,4,18,0,5,3,0.32,0.303,0.93,0.2239
55,22/04/2011,2,0,4,19,0,5,3,0.32,0.303,0.93,0.2239
47,22/04/2011,2,0,4,20,0,5,3,0.32,0.303,0.87,0.2239
28,22/04/2011,2,0,4,21,0,5,3,0.3,0.303,0.93,0.1642
24,22/04/2011,2,0,4,22,0,5,3,0.3,0.303,1,0.1343
17,22/04/2011,2,0,4,23,0,5,3,0.32,0.3333,0.93,0.1045
18,23/04/2011,2,0,4,0,0,6,2,0.32,0.3182,1,0.194
16,23/04/2011,2,0,4,1,0,6,2,0.32,0.3182,1,0.194
17,23/04/2011,2,0,4,2,0,6,3,0.32,0.3333,1,0.1343
4,23/04/2011,2,0,4,3,0,6,3,0.32,0.3333,1,0.0896
5,23/04/2011,2,0,4,4,0,6,3,0.34,0.3636,1,0
7,23/04/2011,2,0,4,5,0,6,3,0.34,0.3636,1,0
11,23/04/2011,2,0,4,6,0,6,2,0.34,0.3333,1,0.1642
19,23/04/2011,2,0,4,7,0,6,3,0.34,0.3333,1,0.1642
47,23/04/2011,2,0,4,8,0,6,2,0.36,0.3333,1,0.2537
68,23/04/2011,2,0,4,9,0,6,2,0.38,0.3939,0.94,0.2985
129,23/04/2011,2,0,4,10,0,6,2,0.42,0.4242,0.88,0.2239
232,23/04/2011,2,0,4,11,0,6,2,0.46,0.4545,0.88,0.2239
291,23/04/2011,2,0,4,12,0,6,1,0.52,0.5,0.83,0.4179
312,23/04/2011,2,0,4,13,0,6,1,0.52,0.5,0.83,0.3881
391,23/04/2011,2,0,4,14,0,6,1,0.58,0.5455,0.78,0.3582
397,23/04/2011,2,0,4,15,0,6,1,0.6,0.5909,0.73,0.3881
426,23/04/2011,2,0,4,16,0,6,1,0.6,0.5909,0.73,0.2836
383,23/04/2011,2,0,4,17,0,6,1,0.6,0.5909,0.73,0.3284
376,23/04/2011,2,0,4,18,0,6,1,0.58,0.5455,0.78,0.194
283,23/04/2011,2,0,4,19,0,6,1,0.56,0.5303,0.83,0.2836
183,23/04/2011,2,0,4,20,0,6,2,0.54,0.5152,0.88,0.2537
135,23/04/2011,2,0,4,21,0,6,2,0.56,0.5303,0.83,0.2836
169,23/04/2011,2,0,4,22,0,6,2,0.58,0.5455,0.78,0.2537
117,23/04/2011,2,0,4,23,0,6,2,0.54,0.5152,0.88,0.1642
96,24/04/2011,2,0,4,0,0,0,1,0.52,0.5,0.83,0.2239
54,24/04/2011,2,0,4,1,0,0,1,0.5,0.4848,0.88,0.194
72,24/04/2011,2,0,4,2,0,0,1,0.5,0.4848,0.88,0.194
24,24/04/2011,2,0,4,3,0,0,1,0.5,0.4848,0.94,0.0896
5,24/04/2011,2,0,4,4,0,0,1,0.5,0.4848,0.94,0.0896
12,24/04/2011,2,0,4,5,0,0,1,0.5,0.4848,0.94,0.0896
13,24/04/2011,2,0,4,6,0,0,2,0.5,0.4848,1,0
27,24/04/2011,2,0,4,7,0,0,2,0.5,0.4848,1,0
80,24/04/2011,2,0,4,8,0,0,1,0.52,0.5,0.94,0.2239
177,24/04/2011,2,0,4,9,0,0,1,0.56,0.5303,0.88,0.2537
289,24/04/2011,2,0,4,10,0,0,1,0.6,0.5758,0.78,0.1642
317,24/04/2011,2,0,4,11,0,0,1,0.66,0.6212,0.65,0.1343
388,24/04/2011,2,0,4,12,0,0,1,0.68,0.6364,0.65,0.2537
441,24/04/2011,2,0,4,13,0,0,1,0.7,0.6515,0.58,0.2836
420,24/04/2011,2,0,4,14,0,0,1,0.7,0.6515,0.54,0.3284
369,24/04/2011,2,0,4,15,0,0,1,0.66,0.6212,0.61,0.2537
359,24/04/2011,2,0,4,16,0,0,1,0.74,0.6667,0.48,0.3881
331,24/04/2011,2,0,4,17,0,0,1,0.66,0.6212,0.65,0.2985
270,24/04/2011,2,0,4,18,0,0,1,0.64,0.6061,0.69,0.1642
194,24/04/2011,2,0,4,19,0,0,3,0.6,0.5606,0.83,0.2836
105,24/04/2011,2,0,4,20,0,0,3,0.6,0.5606,0.83,0.2836
61,24/04/2011,2,0,4,21,0,0,3,0.54,0.5152,0.94,0.1642
45,24/04/2011,2,0,4,22,0,0,3,0.54,0.5152,1,0.1642
42,24/04/2011,2,0,4,23,0,0,3,0.54,0.5152,1,0.0896
12,25/04/2011,2,0,4,0,0,1,3,0.52,0.5,1,0
10,25/04/2011,2,0,4,1,0,1,1,0.54,0.5152,1,0.0896
10,25/04/2011,2,0,4,2,0,1,1,0.54,0.5152,1,0.0896
10,25/04/2011,2,0,4,3,0,1,2,0.5,0.4848,1,0.1045
5,25/04/2011,2,0,4,4,0,1,2,0.52,0.5,1,0
17,25/04/2011,2,0,4,5,0,1,2,0.46,0.4545,1,0
66,25/04/2011,2,0,4,6,0,1,2,0.5,0.4848,1,0
196,25/04/2011,2,0,4,7,0,1,2,0.52,0.5,1,0.0896
353,25/04/2011,2,0,4,8,0,1,1,0.56,0.5303,0.88,0.1045
174,25/04/2011,2,0,4,9,0,1,1,0.6,0.5606,0.83,0.1343
125,25/04/2011,2,0,4,10,0,1,1,0.64,0.6061,0.73,0.2239
147,25/04/2011,2,0,4,11,0,1,1,0.64,0.6061,0.73,0.2239
188,25/04/2011,2,0,4,12,0,1,1,0.66,0.6212,0.74,0.2537
203,25/04/2011,2,0,4,13,0,1,1,0.7,0.6515,0.65,0.2239
146,25/04/2011,2,0,4,14,0,1,1,0.72,0.6667,0.54,0.2239
175,25/04/2011,2,0,4,15,0,1,1,0.74,0.6667,0.51,0.2239
239,25/04/2011,2,0,4,16,0,1,1,0.7,0.6515,0.54,0.3582
521,25/04/2011,2,0,4,17,0,1,1,0.7,0.6515,0.54,0.2985
499,25/04/2011,2,0,4,18,0,1,1,0.68,0.6364,0.57,0.3582
382,25/04/2011,2,0,4,19,0,1,1,0.66,0.6212,0.57,0.3284
237,25/04/2011,2,0,4,20,0,1,1,0.66,0.6212,0.61,0.2836
190,25/04/2011,2,0,4,21,0,1,1,0.62,0.6061,0.69,0.2537
106,25/04/2011,2,0,4,22,0,1,1,0.6,0.5909,0.73,0.2985
62,25/04/2011,2,0,4,23,0,1,1,0.58,0.5455,0.78,0.2836
27,26/04/2011,2,0,4,0,0,2,1,0.62,0.6061,0.69,0.2836
21,26/04/2011,2,0,4,1,0,2,1,0.62,0.5909,0.73,0.2836
26,26/04/2011,2,0,4,2,0,2,1,0.56,0.5303,0.83,0.3284
21,26/04/2011,2,0,4,3,0,2,1,0.54,0.5152,0.88,0.2836
6,26/04/2011,2,0,4,4,0,2,1,0.56,0.5303,0.83,0.2537
16,26/04/2011,2,0,4,5,0,2,1,0.54,0.5152,0.88,0.2537
80,26/04/2011,2,0,4,6,0,2,1,0.56,0.5303,0.88,0.2239
270,26/04/2011,2,0,4,7,0,2,1,0.58,0.5455,0.83,0.2985
449,26/04/2011,2,0,4,8,0,2,1,0.58,0.5455,0.83,0.2985
199,26/04/2011,2,0,4,9,0,2,1,0.64,0.6061,0.73,0.3582
120,26/04/2011,2,0,4,10,0,2,1,0.66,0.6212,0.69,0.3582
172,26/04/2011,2,0,4,11,0,2,1,0.68,0.6364,0.65,0.3881
186,26/04/2011,2,0,4,12,0,2,1,0.7,0.6515,0.61,0.4179
176,26/04/2011,2,0,4,13,0,2,1,0.74,0.6667,0.51,0.4478
155,26/04/2011,2,0,4,14,0,2,1,0.72,0.6667,0.58,0.3284
153,26/04/2011,2,0,4,15,0,2,1,0.7,0.6515,0.61,0.3582
291,26/04/2011,2,0,4,16,0,2,1,0.7,0.6515,0.58,0.3881
521,26/04/2011,2,0,4,17,0,2,1,0.68,0.6364,0.61,0.3582
528,26/04/2011,2,0,4,18,0,2,1,0.68,0.6364,0.65,0.4478
328,26/04/2011,2,0,4,19,0,2,1,0.64,0.6061,0.73,0.4179
234,26/04/2011,2,0,4,20,0,2,1,0.64,0.6061,0.73,0.3582
195,26/04/2011,2,0,4,21,0,2,1,0.62,0.5909,0.78,0.2836
148,26/04/2011,2,0,4,22,0,2,2,0.6,0.5606,0.83,0.194
78,26/04/2011,2,0,4,23,0,2,2,0.6,0.5606,0.83,0.2239
27,27/04/2011,2,0,4,0,0,3,1,0.6,0.5606,0.83,0.2239
17,27/04/2011,2,0,4,1,0,3,1,0.6,0.5606,0.83,0.2537
5,27/04/2011,2,0,4,2,0,3,1,0.58,0.5455,0.88,0.2537
7,27/04/2011,2,0,4,3,0,3,2,0.58,0.5455,0.88,0.2836
6,27/04/2011,2,0,4,4,0,3,1,0.56,0.5303,0.94,0.2239
17,27/04/2011,2,0,4,5,0,3,2,0.56,0.5303,0.94,0.2537
84,27/04/2011,2,0,4,6,0,3,1,0.56,0.5303,0.94,0.2537
246,27/04/2011,2,0,4,7,0,3,2,0.58,0.5455,0.88,0.2836
444,27/04/2011,2,0,4,8,0,3,2,0.58,0.5455,0.88,0.3284
181,27/04/2011,2,0,4,9,0,3,2,0.6,0.5455,0.88,0.4179
92,27/04/2011,2,0,4,10,0,3,2,0.62,0.5758,0.83,0.2836
156,27/04/2011,2,0,4,11,0,3,2,0.64,0.5909,0.78,0.2836
173,27/04/2011,2,0,4,12,0,3,1,0.66,0.6061,0.78,0.3284
150,27/04/2011,2,0,4,13,0,3,1,0.64,0.5909,0.78,0.2985
148,27/04/2011,2,0,4,14,0,3,1,0.68,0.6364,0.74,0.2836
138,27/04/2011,2,0,4,15,0,3,1,0.7,0.6515,0.65,0.4925
218,27/04/2011,2,0,4,16,0,3,1,0.7,0.6515,0.7,0.3881
521,27/04/2011,2,0,4,17,0,3,3,0.66,0.6061,0.83,0.3881
412,27/04/2011,2,0,4,18,0,3,3,0.66,0.6061,0.83,0.3881
260,27/04/2011,2,0,4,19,0,3,1,0.62,0.5909,0.78,0.2836
218,27/04/2011,2,0,4,20,0,3,1,0.64,0.5758,0.83,0.3284
145,27/04/2011,2,0,4,21,0,3,1,0.62,0.5606,0.88,0.2836
129,27/04/2011,2,0,4,22,0,3,2,0.62,0.5606,0.88,0.3284
78,27/04/2011,2,0,4,23,0,3,2,0.62,0.5606,0.88,0.3582
54,28/04/2011,2,0,4,0,0,4,1,0.64,0.5909,0.78,0.3582
20,28/04/2011,2,0,4,1,0,4,2,0.62,0.5758,0.83,0.3881
21,28/04/2011,2,0,4,2,0,4,2,0.62,0.5758,0.83,0.4478
3,28/04/2011,2,0,4,3,0,4,2,0.64,0.5909,0.78,0.3881
9,28/04/2011,2,0,4,4,0,4,2,0.62,0.5758,0.83,0.4179
13,28/04/2011,2,0,4,5,0,4,2,0.62,0.5758,0.83,0.3881
86,28/04/2011,2,0,4,6,0,4,2,0.64,0.5909,0.78,0.4627
215,28/04/2011,2,0,4,7,0,4,2,0.64,0.5909,0.78,0.4478
398,28/04/2011,2,0,4,8,0,4,2,0.66,0.6061,0.78,0.4478
183,28/04/2011,2,0,4,9,0,4,3,0.62,0.5606,0.88,0.3284
54,28/04/2011,2,0,4,10,0,4,2,0.62,0.5606,0.88,0.2836
84,28/04/2011,2,0,4,11,0,4,2,0.62,0.5758,0.83,0.2836
107,28/04/2011,2,0,4,12,0,4,2,0.62,0.5909,0.78,0.2537
121,28/04/2011,2,0,4,13,0,4,2,0.62,0.5758,0.83,0.2985
142,28/04/2011,2,0,4,14,0,4,1,0.62,0.5758,0.83,0.2985
163,28/04/2011,2,0,4,15,0,4,1,0.66,0.6212,0.69,0.3284
270,28/04/2011,2,0,4,16,0,4,1,0.62,0.5909,0.78,0.2537
455,28/04/2011,2,0,4,17,0,4,1,0.64,0.6212,0.47,0.3582
530,28/04/2011,2,0,4,18,0,4,1,0.64,0.6212,0.47,0.3582
404,28/04/2011,2,0,4,19,0,4,1,0.62,0.6212,0.43,0.2985
269,28/04/2011,2,0,4,20,0,4,1,0.58,0.5455,0.43,0.2239
194,28/04/2011,2,0,4,21,0,4,1,0.56,0.5303,0.46,0.1343
153,28/04/2011,2,0,4,22,0,4,1,0.54,0.5152,0.45,0.1642
110,28/04/2011,2,0,4,23,0,4,1,0.54,0.5152,0.39,0.0896
48,29/04/2011,2,0,4,0,0,5,1,0.52,0.5,0.39,0.2836
31,29/04/2011,2,0,4,1,0,5,1,0.5,0.4848,0.45,0.0896
10,29/04/2011,2,0,4,2,0,5,1,0.46,0.4545,0.63,0.1045
5,29/04/2011,2,0,4,3,0,5,1,0.46,0.4545,0.59,0.0896
6,29/04/2011,2,0,4,4,0,5,1,0.46,0.4545,0.51,0.1343
25,29/04/2011,2,0,4,5,0,5,1,0.46,0.4545,0.47,0.1343
71,29/04/2011,2,0,4,6,0,5,1,0.5,0.4848,0.45,0.2836
240,29/04/2011,2,0,4,7,0,5,1,0.52,0.5,0.42,0.194
421,29/04/2011,2,0,4,8,0,5,1,0.54,0.5152,0.39,0.2985
230,29/04/2011,2,0,4,9,0,5,1,0.54,0.5152,0.39,0.3284
156,29/04/2011,2,0,4,10,0,5,1,0.56,0.5303,0.4,0.2836
157,29/04/2011,2,0,4,11,0,5,1,0.6,0.6212,0.38,0.2239
223,29/04/2011,2,0,4,12,0,5,1,0.56,0.5303,0.37,0.2836
308,29/04/2011,2,0,4,13,0,5,1,0.56,0.5303,0.37,0.2985
248,29/04/2011,2,0,4,14,0,5,1,0.6,0.6212,0.35,0.3284
252,29/04/2011,2,0,4,15,0,5,2,0.56,0.5303,0.4,0.2985
299,29/04/2011,2,0,4,16,0,5,2,0.54,0.5152,0.42,0.3582
508,29/04/2011,2,0,4,17,0,5,2,0.52,0.5,0.45,0.3881
439,29/04/2011,2,0,4,18,0,5,1,0.52,0.5,0.48,0.3582
270,29/04/2011,2,0,4,19,0,5,1,0.46,0.4545,0.55,0.3284
194,29/04/2011,2,0,4,20,0,5,1,0.48,0.4697,0.48,0.2239
195,29/04/2011,2,0,4,21,0,5,1,0.46,0.4545,0.51,0.194
146,29/04/2011,2,0,4,22,0,5,1,0.42,0.4242,0.58,0.1642
113,29/04/2011,2,0,4,23,0,5,2,0.44,0.4394,0.54,0.0896
106,30/04/2011,2,0,4,0,0,6,2,0.44,0.4394,0.54,0.2537
74,30/04/2011,2,0,4,1,0,6,2,0.44,0.4394,0.54,0.1642
65,30/04/2011,2,0,4,2,0,6,2,0.44,0.4394,0.54,0.2239
17,30/04/2011,2,0,4,3,0,6,2,0.42,0.4242,0.54,0.194
7,30/04/2011,2,0,4,4,0,6,2,0.42,0.4242,0.54,0.2239
7,30/04/2011,2,0,4,5,0,6,1,0.42,0.4242,0.54,0.3881
21,30/04/2011,2,0,4,6,0,6,1,0.4,0.4091,0.58,0.2836
48,30/04/2011,2,0,4,7,0,6,1,0.4,0.4091,0.54,0.3881
91,30/04/2011,2,0,4,8,0,6,1,0.4,0.4091,0.54,0.2985
156,30/04/2011,2,0,4,9,0,6,1,0.44,0.4394,0.51,0.3582
279,30/04/2011,2,0,4,10,0,6,1,0.48,0.4697,0.44,0.3881
321,30/04/2011,2,0,4,11,0,6,1,0.5,0.4848,0.42,0.3582
416,30/04/2011,2,0,4,12,0,6,1,0.52,0.5,0.42,0.3881
455,30/04/2011,2,0,4,13,0,6,1,0.54,0.5152,0.39,0.2985
452,30/04/2011,2,0,4,14,0,6,1,0.54,0.5152,0.39,0.2239
499,30/04/2011,2,0,4,15,0,6,1,0.56,0.5303,0.37,0.1343
464,30/04/2011,2,0,4,16,0,6,1,0.58,0.5455,0.37,0.194
